,date,county,state,temp_max(C),precip_sum(mm),wind_max(km/h),min_humidity(%),max_humidity(%),mean_humidity(%)
3183,2020-09-12,camden,new jersey,19.9,0.0,16.9,55,86,70.0
3184,2020-09-13,camden,new jersey,21.3,0.0,11.3,60,88,74.0
3185,2020-09-14,camden,new jersey,21.8,0.0,17.5,43,93,65.0
3186,2020-09-15,camden,new jersey,16.3,0.0,16.2,44,81,56.0
3187,2020-09-16,camden,new jersey,17.4,0.0,11.9,52,90,72.0
3188,2020-09-17,camden,new jersey,19.9,0.9,10.6,70,96,85.0
3189,2020-09-18,camden,new jersey,19.1,0.2,21.5,35,97,68.0
3190,2020-09-19,camden,new jersey,14.0,0.0,18.8,30,58,43.0
3191,2020-09-20,camden,new jersey,12.8,0.0,15.8,33,76,53.0
3192,2020-09-21,camden,new jersey,13.0,0.0,16.4,35,70,54.0
3193,2020-09-22,camden,new jersey,14.5,0.0,15.7,27,83,54.0
3194,2020-09-23,camden,new jersey,18.6,0.0,17.4,37,70,55.0
3195,2020-09-24,camden,new jersey,19.0,0.0,9.9,48,86,70.0
3196,2020-09-25,camden,new jersey,19.1,0.3,10.8,51,99,79.0
3197,2020-09-26,camden,new jersey,19.7,3.1,15.0,69,97,87.0
3198,2020-09-27,camden,new jersey,21.8,0.2,8.4,61,100,87.0
3199,2020-09-28,camden,new jersey,22.3,1.4,17.4,64,97,83.0
3200,2020-09-29,camden,new jersey,21.3,10.0,21.1,78,98,90.0
3201,2020-09-30,camden,new jersey,18.3,19.3,23.7,44,99,70.0
3202,2020-10-01,camden,new jersey,18.7,0.1,14.7,45,82,63.0
3203,2020-10-02,camden,new jersey,15.9,5.9,15.3,43,92,66.0
3204,2020-10-03,camden,new jersey,14.0,0.0,10.0,37,78,59.0
3205,2020-10-04,camden,new jersey,14.3,0.0,9.8,44,89,68.0
3206,2020-10-05,camden,new jersey,15.3,0.2,9.0,51,94,75.0
3207,2020-10-06,camden,new jersey,15.9,0.0,14.5,49,92,71.0
3208,2020-10-07,camden,new jersey,18.8,0.0,26.9,46,89,65.0
3209,2020-10-08,camden,new jersey,15.8,0.0,20.9,34,65,50.0
3210,2020-10-09,camden,new jersey,14.9,0.0,14.8,40,86,62.0
3211,2020-10-10,camden,new jersey,18.1,0.0,17.6,63,88,75.0
3212,2020-10-11,camden,new jersey,18.1,4.9,17.6,67,96,85.0
3213,2020-10-12,camden,new jersey,14.5,20.0,25.0,86,95,92.0
3214,2020-10-13,camden,new jersey,16.5,0.1,21.6,76,89,83.0
3215,2020-10-14,camden,new jersey,15.3,0.0,13.4,43,85,66.0
3216,2020-10-15,camden,new jersey,17.7,0.0,24.5,51,86,71.0
3217,2020-10-16,camden,new jersey,14.4,27.5,17.9,83,94,88.0
3218,2020-10-17,camden,new jersey,11.4,1.5,15.3,31,93,60.0
3219,2020-10-18,camden,new jersey,12.4,0.0,14.5,46,89,66.0
3220,2020-10-19,camden,new jersey,14.9,0.0,11.3,53,95,79.0
3221,2020-10-20,camden,new jersey,18.0,0.0,8.7,64,97,85.0
3222,2020-10-21,camden,new jersey,18.5,0.0,14.8,75,100,93.0
3223,2020-10-22,camden,new jersey,19.3,0.0,7.4,74,100,92.0
3224,2020-10-23,camden,new jersey,18.1,0.0,8.8,70,99,90.0
3225,2020-10-24,camden,new jersey,17.9,0.6,17.8,50,99,78.0
3226,2020-10-25,camden,new jersey,9.4,5.8,17.1,50,90,72.0
3227,2020-10-26,camden,new jersey,15.7,0.2,13.7,78,97,89.0
3228,2020-10-27,camden,new jersey,15.0,0.0,11.4,57,99,80.0
3229,2020-10-28,camden,new jersey,16.1,0.6,18.0,72,92,82.0
3230,2020-10-29,camden,new jersey,12.7,31.6,25.9,76,98,90.0
3231,2020-10-30,camden,new jersey,7.2,15.2,23.8,66,95,84.0
3232,2020-10-31,camden,new jersey,5.3,0.0,11.6,44,80,61.0
3233,2020-11-01,camden,new jersey,9.7,11.7,25.0,62,96,78.0
3234,2020-11-02,camden,new jersey,5.7,0.0,35.0,26,57,43.0
3235,2020-11-03,camden,new jersey,8.6,0.0,23.5,38,71,47.0
