,date,county,state,total_cases,new_cases,future_delta7,future_delta14
2164,2020-11-14,wake,north carolina,24740,0,1847,4005
2165,2020-11-15,wake,north carolina,24740,0,1847,4005
2166,2020-11-16,wake,north carolina,25460,720,1175,3298
2167,2020-11-17,wake,north carolina,25741,281,1936,4038
2168,2020-11-18,wake,north carolina,26068,327,1896,3711
2169,2020-11-19,wake,north carolina,26068,0,1896,4782
2170,2020-11-20,wake,north carolina,26587,519,2158,4729
2171,2020-11-21,wake,north carolina,26587,0,2158,4729
2172,2020-11-22,wake,north carolina,26587,0,2158,
2173,2020-11-23,wake,north carolina,26635,48,2123,
2174,2020-11-24,wake,north carolina,27677,1042,2102,
2175,2020-11-25,wake,north carolina,27964,287,1815,
2176,2020-11-26,wake,north carolina,27964,0,2886,
2177,2020-11-27,wake,north carolina,28745,781,2571,
2178,2020-11-28,wake,north carolina,28745,0,2571,
2179,2020-11-29,wake,north carolina,28745,0,,
2180,2020-11-30,wake,north carolina,28758,13,,
2181,2020-12-01,wake,north carolina,29779,1021,,
2182,2020-12-02,wake,north carolina,29779,0,,
2183,2020-12-03,wake,north carolina,30850,1071,,
2184,2020-12-04,wake,north carolina,31316,466,,
2185,2020-12-05,wake,north carolina,31316,0,,
2186,2020-02-12,bexar,texas,1,1,1,9
2187,2020-02-13,bexar,texas,2,1,0,8
2188,2020-02-14,bexar,texas,2,0,2,9
2189,2020-02-15,bexar,texas,2,0,2,9
2190,2020-02-16,bexar,texas,2,0,2,9
2191,2020-02-17,bexar,texas,2,0,8,9
2192,2020-02-18,bexar,texas,2,0,8,9
2193,2020-02-19,bexar,texas,2,0,8,9
2194,2020-02-20,bexar,texas,2,0,8,9
2195,2020-02-21,bexar,texas,4,2,7,7
2196,2020-02-22,bexar,texas,4,0,7,7
2197,2020-02-23,bexar,texas,4,0,7,7
2198,2020-02-24,bexar,texas,10,6,1,1
2199,2020-02-25,bexar,texas,10,0,1,1
2200,2020-02-26,bexar,texas,10,0,1,1
