,date,county,state,fips,cases,deaths,new_cases,new_deaths,case_delta_7,death_delta_7,case_delta_14,death_delta_14
201,2020-09-18,New York City,New York,,243995,23775.0,351.0,8.0,2059.0,36.0,3856.0,59.0
202,2020-09-19,New York City,New York,,244484,23771.0,489.0,-4.0,2242.0,28.0,4068.0,50.0
203,2020-09-20,New York City,New York,,244885,23777.0,401.0,6.0,2399.0,34.0,4174.0,56.0
204,2020-09-21,New York City,New York,,245147,23782.0,262.0,5.0,2393.0,32.0,4228.0,46.0
205,2020-09-22,New York City,New York,,245495,23780.0,348.0,-2.0,2434.0,22.0,4354.0,36.0
206,2020-09-23,New York City,New York,,245776,23780.0,281.0,0.0,2462.0,18.0,4425.0,39.0
207,2020-09-24,New York City,New York,,246198,23785.0,422.0,5.0,2554.0,18.0,4512.0,44.0
208,2020-09-25,New York City,New York,,246570,23792.0,372.0,7.0,2575.0,17.0,4634.0,53.0
209,2020-09-26,New York City,New York,,247000,23795.0,430.0,3.0,2516.0,24.0,4758.0,52.0
210,2020-09-27,New York City,New York,,247384,23801.0,384.0,6.0,2499.0,24.0,4898.0,58.0
211,2020-09-28,New York City,New York,,247765,23810.0,381.0,9.0,2618.0,28.0,5011.0,60.0
212,2020-09-29,New York City,New York,,248287,23814.0,522.0,4.0,2792.0,34.0,5226.0,56.0
213,2020-09-30,New York City,New York,,248738,23823.0,451.0,9.0,2962.0,43.0,5424.0,61.0
214,2020-10-01,New York City,New York,,249272,23829.0,534.0,6.0,3074.0,44.0,5628.0,62.0
215,2020-10-02,New York City,New York,,249874,23846.0,602.0,17.0,3304.0,54.0,5879.0,71.0
216,2020-10-03,New York City,New York,,250583,23844.0,709.0,-2.0,3583.0,49.0,6099.0,73.0
217,2020-10-04,New York City,New York,,251119,23852.0,536.0,8.0,3735.0,51.0,6234.0,75.0
218,2020-10-05,New York City,New York,,251591,23861.0,472.0,9.0,3826.0,51.0,6444.0,79.0
219,2020-10-06,New York City,New York,,252159,23866.0,568.0,5.0,3872.0,52.0,6664.0,86.0
220,2020-10-07,New York City,New York,,252703,23873.0,544.0,7.0,3965.0,50.0,6927.0,93.0
221,2020-10-08,New York City,New York,,253398,23874.0,695.0,1.0,4126.0,45.0,7200.0,89.0
222,2020-10-09,New York City,New York,,254023,23879.0,625.0,5.0,4149.0,33.0,7453.0,87.0
223,2020-10-10,New York City,New York,,254599,23882.0,576.0,3.0,4016.0,38.0,7599.0,87.0
224,2020-10-11,New York City,New York,,255068,23883.0,469.0,1.0,3949.0,31.0,7684.0,82.0
225,2020-10-12,New York City,New York,,255464,23890.0,396.0,7.0,3873.0,29.0,7699.0,80.0
226,2020-10-13,New York City,New York,,256007,23895.0,543.0,5.0,3848.0,29.0,7720.0,81.0
227,2020-10-14,New York City,New York,,256474,23905.0,467.0,10.0,3771.0,32.0,7736.0,82.0
228,2020-10-15,New York City,New York,,256986,23915.0,512.0,10.0,3588.0,41.0,7714.0,86.0
229,2020-10-16,New York City,New York,,257642,23915.0,656.0,0.0,3619.0,36.0,7768.0,69.0
230,2020-10-17,New York City,New York,,258452,23925.0,810.0,10.0,3853.0,43.0,7869.0,81.0
231,2020-10-18,New York City,New York,,259064,23935.0,612.0,10.0,3996.0,52.0,7945.0,83.0
232,2020-10-19,New York City,New York,,259484,23944.0,420.0,9.0,4020.0,54.0,7893.0,83.0
233,2020-10-20,New York City,New York,,259920,23944.0,436.0,0.0,3913.0,49.0,7761.0,78.0
234,2020-10-21,New York City,New York,,260762,23949.0,842.0,5.0,4288.0,44.0,8059.0,76.0
235,2020-10-22,New York City,New York,,261293,23955.0,531.0,6.0,4307.0,40.0,7895.0,81.0
236,2020-10-23,New York City,New York,,261863,23963.0,570.0,8.0,4221.0,48.0,7840.0,84.0
237,2020-10-24,New York City,New York,,262615,23963.0,752.0,0.0,4163.0,38.0,8016.0,81.0
238,2020-10-25,New York City,New York,,263269,23967.0,654.0,4.0,4205.0,32.0,8201.0,84.0
239,2020-10-26,New York City,New York,,263694,23969.0,425.0,2.0,4210.0,25.0,8230.0,79.0
240,2020-10-27,New York City,New York,,264428,23978.0,734.0,9.0,4508.0,34.0,8421.0,83.0
241,2020-10-28,New York City,New York,,265263,23980.0,835.0,2.0,4501.0,31.0,8789.0,75.0
242,2020-10-29,New York City,New York,,266321,23989.0,1058.0,9.0,5028.0,34.0,9335.0,74.0
243,2020-10-30,New York City,New York,,267227,23996.0,906.0,7.0,5364.0,33.0,9585.0,81.0
244,2020-10-31,New York City,New York,,267929,24001.0,702.0,5.0,5314.0,38.0,9477.0,76.0
245,2020-11-01,New York City,New York,,268879,24013.0,950.0,12.0,5610.0,46.0,9815.0,78.0
246,2020-11-02,New York City,New York,,269519,24017.0,640.0,4.0,5825.0,48.0,10035.0,73.0
247,2020-11-03,New York City,New York,,270317,24021.0,798.0,4.0,5889.0,43.0,10397.0,77.0
248,2020-11-04,New York City,New York,,271112,24034.0,795.0,13.0,5849.0,54.0,10350.0,85.0
249,2020-11-05,New York City,New York,,272184,24047.0,1072.0,13.0,5863.0,58.0,10891.0,92.0
250,2020-11-06,New York City,New York,,273386,24054.0,1202.0,7.0,6159.0,58.0,11523.0,91.0
251,2020-11-07,New York City,New York,,274551,24060.0,1165.0,6.0,6622.0,59.0,11936.0,97.0
252,2020-11-08,New York City,New York,,275944,24074.0,1393.0,14.0,7065.0,61.0,12675.0,107.0
253,2020-11-09,New York City,New York,,277105,24085.0,1161.0,11.0,7586.0,68.0,13411.0,116.0
254,2020-11-10,New York City,New York,,278312,24087.0,1207.0,2.0,7995.0,66.0,13884.0,109.0
255,2020-11-11,New York City,New York,,280044,24096.0,1732.0,9.0,8932.0,62.0,14781.0,116.0
256,2020-11-12,New York City,New York,,281707,24099.0,1663.0,3.0,9523.0,52.0,15386.0,110.0
257,2020-11-13,New York City,New York,,283533,24108.0,1826.0,9.0,10147.0,54.0,16306.0,112.0
258,2020-11-14,New York City,New York,,285333,24118.0,1800.0,10.0,10782.0,58.0,17404.0,117.0
